date,time,DOY,ALB_1_1_1,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,DRM_POWER_STATUS_1_1_1,DRM_V_BATTERY_1_1_1,DRM_V_MAIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TCNR4_C_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[OTHER],[V],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K]
2022-07-01,03:30,182.1458,-0.418871,132.633,0.975,12.2126,15,0,11.4231,-13.5507,8.68603,-0.0016977,0,93.4516,-24.6424,-3.71508,-39.1987,-2.8811,0.418227,0.428483,0.422719,-1.76098,0.644786,267.308,-157.395,-9999,-9999,-9999
2022-07-01,04:00,182.1666,-1.09707,104.067,0.941146,12.2126,15,0,11.4171,-6.69006,10.0065,-0.00167205,0,94.3066,-20.5504,-3.72633,-36.8195,-2.84228,0.418231,0.428479,0.422725,-1.9259,1.92801,267.585,-157.492,-9999,-9999,-9999
2022-07-01,04:30,182.1874,-0.237557,168.533,1.27161,12.2127,15,0,11.424,-17.4663,9.36708,-0.00175227,0,93.4051,-30.46,-3.73435,-34.348,-2.80408,0.418232,0.42848,0.422707,-2.88737,0.739227,267.725,-157.419,-9999,-9999,-9999
2022-07-01,05:00,182.2083,-0.127825,107.4,1.24896,12.2127,15,0,11.4221,-18.4461,9.04411,-0.00158027,0,93.7672,-31.2311,-3.74607,-35.9023,-2.77185,0.418233,0.428482,0.422704,-3.2768,0.464154,267.437,-157.427,-9999,-9999,-9999
2022-07-01,05:30,182.2291,-0.355469,152.033,1.05807,12.2126,15,0,11.4224,-18.2587,8.56176,-0.00159108,0,94.5186,-32.0169,-3.76252,-37.4596,-2.73374,0.41823,0.428478,0.422712,-3.78564,1.41086,267.38,-157.396,-9999,-9999,-9999
2022-07-01,06:00,182.2499,-0.582575,148,0.954688,12.2126,15,0,11.4131,-15.7226,8.37752,-0.00171983,0,94.9869,-29.7579,-3.77372,-37.8682,-2.85826,0.418231,0.428474,0.422716,-3.61431,2.04338,267.593,-157.384,-9999,-9999,-9999
2022-07-01,06:30,182.2707,-0.0516725,123.667,0.921875,12.2126,15,0,11.4212,-18.5747,8.24815,-0.00171807,0,94.1001,-30.6519,-3.78332,-37.7387,-3.13745,0.418238,0.42847,0.422704,-3.58047,0.248511,267.249,-157.429,-9999,-9999,-9999
2022-07-01,07:00,182.2916,-0.407992,149.433,0.732292,12.2125,15,0,11.4218,-17.1738,8.79548,-0.00169267,0,94.367,-30.8715,-3.7937,-38.3331,-3.31851,0.418238,0.428467,0.422705,-3.36424,1.53798,267.154,-157.459,-9999,-9999,-9999
2022-07-01,07:30,182.3124,-0.986109,119,0.715365,12.2125,15,0,11.4231,-6.77179,8.97961,-0.00170349,0,93.4536,-19.3579,-3.8034,-37.6734,-3.38358,0.418239,0.428474,0.422697,-2.35075,1.25575,267.411,-157.411,-9999,-9999,-9999
2022-07-01,08:00,182.3332,-0.577687,127.6,0.909896,12.2126,15,0,11.4234,-8.5318,10.49,-0.00178497,0,93.3134,-22.3392,-3.81177,-33.1857,-3.93614,0.418239,0.428469,0.422718,-1.73024,1.58711,267.667,-157.43,-9999,-9999,-9999
2022-07-01,08:30,182.3541,-0.324268,146.033,1.24115,12.2127,15,0,11.4246,-14.9585,9.17729,-0.00161497,0,92.7509,-28.7893,-3.81972,-33.2571,-5.13463,0.418247,0.428454,0.42272,-3.50693,1.14656,267.955,-157.436,-9999,-9999,-9999
2022-07-01,09:00,182.3749,-0.144462,133.533,1.43307,12.2128,15,0,11.4249,-17.8614,9.06195,-0.0000372186,0,91.772,-31.443,-3.82856,-33.6782,-7.38783,0.418248,0.428453,0.422721,-3.94732,0.572323,267.743,-157.304,-9999,-9999,-9999
2022-07-01,09:30,182.3957,-0.639974,130.2,1.38932,12.2127,15,0,11.4146,-15.7338,8.9416,0.113739,0,91.2814,-28.9914,-3.83721,-34.7655,-11.3195,0.418249,0.428442,0.422718,-2.78115,1.53485,268.001,-157.418,-9999,-9999,-9999
2022-07-01,10:00,182.4165,-2.2655,134.467,1.41354,12.2126,15,0,11.4243,-12.7184,9.76956,3.33317,0,91.5397,-25.5537,-3.8452,-33.6053,-17.3944,0.418253,0.428448,0.422719,-0.803075,2.26266,267.762,-157.466,-9999,-9999,-9999
2022-07-01,10:30,182.4374,1.8593,149.133,1.42422,12.2127,15,0,11.4187,-10.5299,9.83758,15.5831,0,92.3589,-22.6032,-3.85227,-32.9255,-21.6412,0.418261,0.428436,0.422728,3.51031,5.7461,267.68,-157.41,-9999,-9999,-9999
2022-07-01,11:00,182.4582,0.836321,120.067,1.65078,12.2128,15,0,11.4156,-0.0437327,10.655,41.3379,0,92.7937,-7.57928,-3.85963,-29.1814,-24.1327,0.418281,0.428449,0.422735,16.4899,13.3704,268.886,-157.343,-9999,-9999,-9999
2022-07-01,11:30,182.479,0.733195,115.033,2.50339,12.2131,15,0,11.4181,-7.34373,10.1874,97.4609,0,90.2793,-7.56381,-3.86445,-21.9967,-24.7081,0.418303,0.428453,0.422739,37.5703,27.6029,269.44,-157.266,-9999,-9999,-9999
2022-07-01,12:00,182.4999,0.707339,100.1,3.41328,12.2133,15,0,11.4043,-11.9248,9.71874,106.858,0,90.6521,-9.37378,-3.86998,-17.5793,-23.0301,0.418303,0.428454,0.422738,41.7727,29.503,270.434,-157.117,-9999,-9999,-9999
2022-07-01,12:30,182.5207,0.618804,107.367,4.23672,12.2136,15,0,11.4037,-11.7381,9.64994,143.662,0,87.8473,1.26589,-3.87364,-14.8765,-20.6321,0.418296,0.428459,0.422757,59.2722,36.6183,271.414,-157.009,-9999,-9999,-9999
2022-07-01,13:00,182.5415,0.603385,118.533,5.17162,12.2135,15,0,11.4065,-8.7579,9.83274,147.55,0,85.4821,5.59585,-3.88192,-10.7497,-18.2519,0.418268,0.42845,0.422751,60.8849,36.6984,272.302,-156.838,-9999,-9999,-9999
